media, bias, youtubeChannel, viewCount, subscribersCount, videoCount
abs-cbn news, center,UCE2606prvXQc_noEqKxVJXA, 3229667988, 4227574, 76545
big think, center,UCvQECJukTDE2i6aCoMnS-Vg, 268571789, 2343188, 10725
today i found out, center,UC64UiPJwM_e9AqAd7RiD7JA, 261211868, 1489899, 1095
mental floss, center,UCpZ5qUqpW4hW4zdfuBxMSJA, 179639954, 1343002, 386
associated press, center,UC52X5wxOL_s5yw0dQk7NtgA, 1996018328, 886191, 118447
india today, center,UCYPvAwZP8pZhSMW8qs7cVCw, 230631853, 742604, 52233
the times of india, center,UCckHqySbfy5FcPP6MD_S-Yg, 306518755, 634243, 74595
euronews, center,UCSrZ3UV4jOidv8ppoVuvW9Q, 445701745, 518972, 62150
the economist, center,UC0p5jTq6Xx_DosDFxVXnWaQ, 59530571, 511751, 1692
china global television network (cgtn), center,UCgrNz-aDmcr2uuto8_DL2jg, 451812008, 449211, 55405
relevant magazine, center,UC4WdIJ_D_lJb87uE3JV5SgQ, 103097091, 286619, 294
abc news australia, center,UCVgO39Bk5sMo66-6o6Spn6Q, 193667568, 278723, 52505
consumer reports, center,UCOClvgLYa7g75eIaTdwj_vg, 118937859, 263509, 2278
world economic forum, center,UCw-kH-Od73XDAt7qtH9uBYA, 30473090, 224410, 6135
c-span, center,UCb--64Gl51jIEVE-GLDAVTg, 189423062, 221630, 6512
jones report, conspiracy,UCvsye7V9psc-APX6wV1twLg, 1592865456, 2415735, 35736
natural cures, pseudoscience,UC_gcEbkXOt8j7NUoxulEaTA, 208489549, 1831150, 599
prison planet (Paul Joseph Watson), conspiracy,UCittVh8imKanO_5KohzDbpg, 303450132, 1297331, 647
dr. axe, pseudoscience,UCgtp61tf9tYF7nG_gIQ94LQ, 107707730, 1278166, 697
freedomain radio (Stefan Molyneux), conspiracy,UCC3L8QaxqEGUiBC252GHy3w, 248919884, 803090, 2977
we are change, conspiracy,UChwwoeOZ3EJPobW83dgQfAg, 111931731, 522759, 1810
storm clouds gathering, conspiracy,UCEHsSWvrGVSIA63OV3J6vhA, 43134716, 513752, 127
alternative media television (amtv), conspiracy,UChD-zWutIego-bcHKOatFWA, 14263685, 507554, 205
david icke, conspiracy,UCAhmDfQ1LfOYECmNNWgXJ7Q, 64683290, 469807, 650
nutritionfacts.org, pseudoscience,UCddn8dUxYdgJz3Qr5mjADtA, 84260143, 380384, 1564
ihealthtube, pseudoscience,UCA2W3T-G5egtVxBBdumQxHQ, 62023492, 302513, 3345
mercola, pseudoscience,UCxscQY7X0mtnaCbkGTjZ17g, 86738585, 272995, 2156
the corbett report, conspiracy,UC7TvL4GlQyMBLlUsTrN_C4Q, 54654332, 265106, 1439
thrive movement, pseudoscience,UCMffZS4_Fp-e-xG1u1IXoNg, 37710578, 205265, 304
x22 report, conspiracy,UCB1o7_gbFp2PLsamWxFenBg, 64051401, 190604, 2390
press for truth, conspiracy,UCMOWB-s0Kek9o9sS8xA_kZQ, 24278737, 176152, 1249
usawatchdog.com (Greg Hunter), conspiracy,UCG-G8LLr38fQUNZU8K0t-EA, 56316294, 157215, 983
vigilant citizen, conspiracy,UCnCUOl0k7asaZyNtl68EasA, 23679281, 149846, 210
global healing center, pseudoscience,UCUYI_ovPG0xO3mCjVCWvcbA, 18189564, 132755, 262
vox, left,UCLXo7UDZvByw2ixzpQCufnA, 978888821, 4355926, 854
cnn, left,UCupvZG-5ko_eiXAupbDfxWw, 3336995287, 4246614, 141852
young turks, left,UC1yBKRuGpC1tSM73A0ZjYjQ, 4294839709, 4013553, 33411
gq magazine, left,UCsEukrAd64fqA7FjwkmZ_Dw, 775844548, 2398685, 2128
msnbc, left,UCaXkIU1QidjPwiAYu6GcHjg, 954696519, 1053122, 14565
vanity fair, left,UCIsbLox_y9dCIMLd8tdC6qg, 407558372, 861550, 1874
mashable, left,UCL8Nxsa1LB9DrMTHtt3IKiw, 201379202, 712932, 3915
cosmopolitan, left,UC4LADtN8xwppFydHUB1s5uA, 221569846, 694299, 2299
huffington post (huffpost), left,UCZfsrIV68Oegr5bJgAMLBDA, 300977661, 459267, 1940
elite daily, left,UCqLj_VGACwmDa0FZ4UV3j-w, 161873658, 424249, 728
democracy now, left,UCzuqE7-t13O4NIDYJfakrhw, 109874730, 389321, 9140
people magazine, left,UCGbQJy-531_5vfphay-rChQ, 233652355, 314492, 5974
rappler, left,UCdnZdQxYXnbN4uWJg96oGxw, 218410021, 307641, 24300
new yorker, left,UCsD-Qms-AkXDrsU962OicLw, 64082253, 224620, 1118
ring of fire, left,UCYWIEbibRcZav6xMLo9qWWw, 96841747, 209659, 7932
abc news, leftcenter,UCBi2mrWuNuyYy4gbM6fU18Q, 4087765148, 4132630, 43207
vice news, leftcenter,UCZaT_X_mc0BI-djXOlfhqWQ, 803368897, 3224352, 3210
bbc, leftcenter,UC16niRr50-MSBwiO3YDb3RA, 808597227, 2856088, 8678
wired magazine, leftcenter,UCftwRNsjfRo08xYE31tkiyw, 658517737, 2386328, 2708
al jazeera, leftcenter,UCNye-wNBqNL5ZzHSJj3l8Bg, 1125139223, 2344119, 74625
ndtv, leftcenter,UCZFMm1mMw0F81Z37aaEzTUA, 1132388094, 2234429, 68831
the verge, leftcenter,UCddiUEpeqJcYeBxX1IVBKvQ, 542306114, 2026929, 3551
new york times, leftcenter,UCqnbDFdCpuN8CMEg0VuEBqA, 590491394, 1381383, 9229
glamour magazine, leftcenter,UCY9eEaH19ulZmdusctU1ejA, 389849099, 1243913, 1513
scoopwhoop, leftcenter,UCx2HcmpB-UZGkMXOCJ4QIVA, 167773977, 1235500, 470
bloomberg, leftcenter,UCUMZ7gohGI9HcU9VNsr2FJQ, 317546733, 1061549, 47685
business insider, leftcenter,UCcyq283he07B7_KUX07mmtA, 378703400, 890095, 4350
cbs news, leftcenter,UC8p1vwvWtl6T73JiExfWs1g, 715930058, 826883, 63226
sky news, leftcenter,UCoMdktPbSTixAyNGwb-UYkQ, 312007613, 801913, 9240
cbc news, leftcenter,UCuFFtHWoLl5fauMMD5Ww2jA, 358527922, 786094, 10635
rt news, right-center,UCpwvZwUam-URkxB7g4USKpg, 2436201192, 2820867, 40154
wall street journal, right-center,UCK7tptUDHh-RYDsdxO1-5QQ, 519442282, 941239, 25603
forbes, right-center,UCmh7afBz-uWwOSSNTqUBAhg, 71393151, 571144, 5260
the quint, right-center,UCSaf-7p3J_N-02p7jHzm5tA, 130743536, 492917, 16651
russia insider, right-center,UCAvBcst08Tfo4VNtIaRPTNw, 256139695, 459051, 2565
daily telegraph, right-center,UCPgLNge0xqQHWM5B5EFH9Cg, 557572729, 410439, 17924
reason, right-center,UC0uVZd8N7FfIZnPu0y7o95A, 114396655, 333172, 2539
ntd.tv (new tang dynasty), right-center,UC8Ioh4atNDO5a0Vy2qFmauQ, 311467750, 207930, 28479
learn liberty, right-center,UCFJNcE0iHj7P6dhp5iCZRLg, 37535613, 170546, 616
new york post, right-center,UCrvhNP_lWuPIP6QZzJmM-bw, 223807280, 145089, 6009
itv news, right-center,UCFQgi22Ht00CpaOQLtvZx2A, 85483505, 113024, 5438
gulf news, right-center,UCXTuTQZarVcFR_fgQXvsLpw, 54930847, 109750, 3324
louder with crowder, right,UCIveFvW-ARp_B_RckhweNJw, 467760962, 2305836, 726
fox news, right,UCXIJgqnII2ZOINSWNOGFThA, 993343789, 1462912, 51302
the rebel, right,UCGy6uV7yqGWDeUWTZzT3ZEg, 339691633, 965137, 8876
the daily wire, right,UCaeO5vkdj5xOQHp4UmIN6dw, 149812936, 801941, 2101
next news network, right,UCLoNQH9RCndfUGOb2f7E1Ew, 664891337, 656744, 18527
pj media, right,UCWq53_f3zgMcWuE-XFKSpyQ, 89288322, 228538, 3390
trt world, right,UC7fWeaHhqgM4Ry-RMpM2YYw, 86374858, 224268, 28651
national rifle association (nra), right,UCZr49eSL2aHQ_41476IrkbA, 72793264, 161652, 4291
project veritas, right,UCL9PlYkRD3Q-RZca6CCnPKw, 34486328, 161431, 348
american enterprise institute, right,UCt8lRYpzb-sSrKFb4DT2ECw, 22426888, 152773, 2812
one america news network, right,UCNbIDJNNgaRrXOD7VllIMRQ, 24533834, 150210, 4382
ron paul liberty report, right,UCkJ1N-7g9Q6n7KnriGit-Ig, 13484649, 140110, 952
daily mail, right,UCw3fku0sH3qA3c3pZeJwdAw, 89527584, 125691, 29496
judicial watch, right,UCGDaOZg2INC0Qg2Z203F1dA, 15594470, 111491, 1026
